,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_add_amount
43,20170908000444,11011,2016,00266961,035420,OFS,재무제표,BS,재무상태표,자본총계,제 18 기,2016.12.31 현재,"2,709,415,903,627",제 17 기,2015.12.31 현재,"2,375,716,335,171",제 16 기,2014.12.31 현재,"1,911,346,446,055",22,KRW,,
44,20170908000444,11011,2016,00266961,035420,OFS,재무제표,IS,손익계산서,매출액,제 18 기,2016.01.01 ~ 2016.12.31,"2,496,498,317,219",제 17 기,2015.01.01 ~ 2015.12.31,"2,141,274,743,504",제 16 기,2014.01.01 ~ 2014.12.31,"1,637,164,959,037",24,KRW,,
45,20170908000444,11011,2016,00266961,035420,OFS,재무제표,IS,손익계산서,영업이익,제 18 기,2016.01.01 ~ 2016.12.31,"968,350,907,579",제 17 기,2015.01.01 ~ 2015.12.31,"826,491,297,771",제 16 기,2014.01.01 ~ 2014.12.31,"711,899,570,890",26,KRW,,
46,20170908000444,11011,2016,00266961,035420,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 18 기,2016.01.01 ~ 2016.12.31,"909,725,429,730",제 17 기,2015.01.01 ~ 2015.12.31,"848,500,733,263",제 16 기,2014.01.01 ~ 2014.12.31,"607,019,474,892",28,KRW,,
47,20170908000444,11011,2016,00266961,035420,OFS,재무제표,IS,손익계산서,당기순이익,제 18 기,2016.01.01 ~ 2016.12.31,"651,815,939,406",제 17 기,2015.01.01 ~ 2015.12.31,"642,595,653,052",제 16 기,2014.01.01 ~ 2014.12.31,"460,655,993,185",30,KRW,,
48,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동자산,제 18 기반기말,2016.06.30 현재,"3,059,385,431,656",제 17 기말,2015.12.31 현재,"2,639,382,642,620",,,,1,KRW,,
49,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동자산,제 18 기반기말,2016.06.30 현재,"1,868,070,443,984",제 17 기말,2015.12.31 현재,"1,746,530,375,501",,,,3,KRW,,
50,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,자산총계,제 18 기반기말,2016.06.30 현재,"4,927,455,875,640",제 17 기말,2015.12.31 현재,"4,385,913,018,121",,,,5,KRW,,
51,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,유동부채,제 18 기반기말,2016.06.30 현재,"1,842,290,901,339",제 17 기말,2015.12.31 현재,"1,683,655,879,811",,,,7,KRW,,
52,20160816002079,11012,2016,00266961,035420,CFS,연결재무제표,BS,재무상태표,비유동부채,제 18 기반기말,2016.06.30 현재,"451,052,807,894",제 17 기말,2015.12.31 현재,"432,678,618,822",,,,9,KRW,,
